rank,channel_name,subscribers,total_views,category,channel_title,uploads,country,country_code,channel_type,views_rank,country_rank,type_rank,views_last_30d,est_monthly_earnings_low,est_monthly_earnings_high,est_yearly_earnings_low,est_yearly_earnings_high,subs_gained_last_30d,created_year,created_month,created_date,avg_views_per_video,est_monthly_earnings_mid,channel_age_years,views_per_subscriber,views_30d_pct_of_total,sub_growth_rate_30d,follower_tier,engagement_proxy,posting_intensity,recent_views_momentum,subscriber_momentum,momentum_score,avg_views_per_30d,earnings_per_1k_views,consistency_score,marketing_category,creator_fit_score,awareness_score,engagement_suitability_score,flag_missing_30d_data,flag_low_upload_volume,flag_negative_growth,flag_earnings_missing,flag_very_high_uploads,risk_flag_count,objective,recommendation
1,SET India,159000000,148000000000.0,Shows,SET India,116536,India,IN,Entertainment,3.0,2.0,2.0,1824000000.0,455900.0,7300000.0,5500000.0,87500000.0,1000000.0,2006.0,Sep,20.0,1269994.0,3877950.0,17.0,930.82,1.232,0.6289,mega_plus,930.82,6855.1,1.232,0.6289,51.9,1824000000.0,2.13,98.7,Entertainment,82.7,99.3,63.4,False,False,False,False,True,1,awareness,Awareness Driver — prioritize for reach campaigns
2,T-Series,245000000,228000000000.0,Music,T-Series,20082,India,IN,Music,1.0,1.0,1.0,2258000000.0,564600.0,9000000.0,6800000.0,108400000.0,2000000.0,2006.0,Mar,13.0,11353451.0,4782300.0,17.0,930.61,0.99,0.8163,mega_plus,930.61,1181.3,0.99,0.8163,55.3,2258000000.0,2.12,96.3,Music,81.8,98.8,78.0,False,False,False,False,False,0,awareness,Star Creator — strong on both reach and engagement
3,Sony SAB,83000000,101000000000.0,Shows,Sony SAB,71270,India,IN,Entertainment,4.0,5.0,7.0,1657000000.0,414300.0,6600000.0,5000000.0,79600000.0,1100000.0,2007.0,Aug,4.0,1417146.0,3507150.0,16.0,1216.87,1.641,1.3253,mega,1216.87,4454.4,1.641,1.3253,71.8,1657000000.0,2.12,98.1,Entertainment,89.9,98.6,72.2,False,False,False,False,True,1,awareness,Star Creator — strong on both reach and engagement
4,Zee TV,70500000,73139054467.0,Entertainment,Zee TV,129204,India,IN,Entertainment,9.0,6.0,8.0,1707000000.0,426800.0,6800000.0,5100000.0,81900000.0,900000.0,2005.0,Dec,11.0,566074.0,3613400.0,18.0,1037.43,2.334,1.2766,mega,1037.43,7178.0,2.334,1.2766,76.1,1707000000.0,2.12,98.7,Entertainment,91.3,98.6,69.1,False,False,False,False,True,1,awareness,Awareness Driver — prioritize for reach campaigns
5,Colors TV,64600000,61510906457.0,Shows,Colors TV,112915,India,IN,Entertainment,10.0,9.0,9.0,1188000000.0,296900.0,4800000.0,3600000.0,57000000.0,1100000.0,2008.0,Jun,13.0,544754.0,2548450.0,15.0,952.18,1.931,1.7028,mega,952.18,7527.7,1.931,1.7028,77.9,1188000000.0,2.15,98.8,Entertainment,91.5,98.0,70.2,False,False,False,False,True,1,awareness,Star Creator — strong on both reach and engagement
6,WWE,96000000,77428473662.0,Sports,WWE,70127,United States,US,Sports,7.0,6.0,1.0,714614000.0,178700.0,2900000.0,2100000.0,34300000.0,600000.0,2007.0,May,11.0,1104118.0,1539350.0,16.0,806.55,0.923,0.625,mega,806.55,4382.9,0.923,0.625,45.5,714614000.0,2.15,98.0,Sports,78.9,97.9,60.7,False,False,False,False,True,1,awareness,Awareness Driver — prioritize for reach campaigns
7,Zee Music Company,96700000,57856289381.0,Music,Zee Music Company,8548,India,IN,Music,12.0,3.0,2.0,803613000.0,200900.0,3200000.0,2400000.0,38600000.0,1100000.0,2014.0,Mar,12.0,6768401.0,1700450.0,9.0,598.31,1.389,1.1375,mega,598.31,949.8,1.389,1.1375,66.0,803613000.0,2.12,83.7,Music,77.5,97.0,67.2,False,False,False,False,False,0,awareness,Awareness Driver — prioritize for reach campaigns
8,HAR PAL GEO,44600000,41139050371.0,Entertainment,HAR PAL GEO,100755,Pakistan,PK,Entertainment,20.0,1.0,15.0,1337000000.0,334300.0,5300000.0,4000000.0,64200000.0,1300000.0,2008.0,Jan,2.0,408308.0,2817150.0,15.0,922.4,3.25,2.9148,macro,922.4,6717.0,3.25,2.9148,88.0,1337000000.0,2.11,98.6,Entertainment,93.6,96.7,71.5,False,False,False,False,True,1,awareness,Star Creator — strong on both reach and engagement
9,ARY Digital HD,43200000,37939780685.0,Entertainment,ARY Digital HD,109871,Pakistan,PK,Entertainment,24.0,2.0,18.0,1149000000.0,287300.0,4600000.0,3400000.0,55200000.0,900000.0,2016.0,Jul,11.0,345312.0,2443650.0,7.0,878.24,3.028,2.0833,macro,878.24,15695.9,3.028,2.0833,84.7,1149000000.0,2.13,83.6,Entertainment,90.3,96.2,66.9,False,False,False,False,True,1,awareness,Awareness Driver — prioritize for reach campaigns
10,Aaj Tak,57600000,25307753534.0,News & Politics,Aaj Tak,283775,India,IN,News,71.0,13.0,1.0,461148000.0,115300.0,1800000.0,1400000.0,22100000.0,500000.0,2009.0,Aug,27.0,89182.0,957650.0,14.0,439.37,1.822,0.8681,macro,439.37,20269.6,1.822,0.8681,68.8,461148000.0,2.08,97.8,News & Current Affairs,79.0,95.1,50.1,False,False,False,False,True,1,awareness,Awareness Driver — prioritize for reach campaigns
11,Tips Official,59300000,33431802698.0,Music,Tips Official,4741,India,IN,Music,30.0,11.0,10.0,422634000.0,105700.0,1700000.0,1300000.0,20300000.0,600000.0,2007.0,May,22.0,7051635.0,902850.0,16.0,563.77,1.264,1.0118,macro,563.77,296.3,1.264,1.0118,62.9,422634000.0,2.14,90.1,Music,73.5,93.8,66.6,False,False,False,False,False,0,awareness,Awareness Driver — prioritize for reach campaigns
12,Pinkfong Baby Shark - Kids' Songs & Stories,68200000,38843229963.0,Education,Pinkfong Baby Shark - Kids' Songs & Stories,2865,United States,US,Education,23.0,8.0,2.0,473387000.0,118300.0,1900000.0,1400000.0,22700000.0,600000.0,2011.0,Dec,14.0,13557846.0,1009150.0,12.0,569.55,1.219,0.8798,mega,569.55,238.8,1.219,0.8798,60.7,473387000.0,2.13,82.4,Education,69.7,93.5,68.4,False,False,False,False,False,0,awareness,Awareness Driver — prioritize for reach campaigns
13,Wave Music,58000000,40602020243.0,Music,Wave Music,19487,India,IN,Music,21.0,12.0,12.0,232025000.0,58000.0,928100.0,696100.0,11100000.0,500000.0,2014.0,Oct,29.0,2083544.0,493050.0,9.0,700.03,0.571,0.8621,macro,700.03,2165.2,0.571,0.8621,43.3,232025000.0,2.12,85.2,Music,74.1,93.5,64.1,False,False,False,False,False,0,awareness,Awareness Driver — prioritize for reach campaigns
14,YRF,54600000,35302243691.0,Film & Animation,YRF,3707,India,IN,Music,28.0,15.0,16.0,512093000.0,128000.0,2000000.0,1500000.0,24600000.0,500000.0,2006.0,Jun,7.0,9523130.0,1064000.0,17.0,646.56,1.451,0.9158,macro,646.56,218.1,1.451,0.9158,65.2,512093000.0,2.08,87.7,Music,74.8,93.4,70.9,False,False,False,False,False,0,awareness,Star Creator — strong on both reach and engagement
15,Cocomelon - Nursery Rhymes,162000000,164000000000.0,Education,Cocomelon - Nursery Rhymes,966,United States,US,Education,2.0,2.0,1.0,1975000000.0,493800.0,7900000.0,5900000.0,94800000.0,1000000.0,2006.0,Sep,1.0,169772257.0,4196900.0,17.0,1012.35,1.204,0.6173,mega_plus,1012.35,56.8,1.204,0.6173,50.9,1975000000.0,2.13,76.0,Education,62.7,93.1,77.8,False,False,False,False,False,0,awareness,Star Creator — strong on both reach and engagement
